2024-06-23 19:18:26,862 | ERROR | Error reading file: [Errno 13] Permission denied: '/home/luis/proyects/webserv/turnInPage/404.html'
2024-06-23 19:20:05,814 | ERROR | Error reading file: [Errno 13] Permission denied: '/home/luis/proyects/webserv/turnInPage/404.html'
2024-06-23 19:20:31,757 | ERROR | Error reading file: [Errno 13] Permission denied: '/home/luis/proyects/webserv/turnInPage/404.html'
2024-06-23 19:20:53,943 | ERROR | Error reading file: [Errno 13] Permission denied: '/home/luis/proyects/webserv/turnInPage/404.html'
2024-06-23 19:21:27,376 | ERROR | Error reading file: [Errno 13] Permission denied: '/home/luis/proyects/webserv/turnInPage/404.html'
2024-06-25 07:38:04,580 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:38:05,105 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:39:11,939 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:39:12,420 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:39:40,180 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:39:40,660 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:53:32,093 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:53:32,580 | ERROR | File not found: /home/luis/proyects/webserv/turnInPage/404.html
2024-06-25 07:53:53,671 | ERROR | File not found: /workspaces/webserv/Locust/turnInPage/404.html
2024-06-25 07:53:54,148 | ERROR | File not found: /workspaces/webserv/Locust/turnInPage/404.html
